epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,104.587,0.97601,1.28001,0.87992,0.99202,1,0.995,0.75808,0.906,0.55004,0.86526,0.000594125,0.000594125,0.000594125
55,106.42,0.99406,1.26472,0.89493,0.98567,1,0.995,0.7411,0.95274,0.55793,0.87164,0.00058175,0.00058175,0.00058175
56,108.28,1.01983,1.45541,0.89919,0.98536,1,0.995,0.75333,0.93533,0.5652,0.86907,0.000569375,0.000569375,0.000569375
57,110.086,0.99849,1.39755,0.83949,0.98674,1,0.995,0.76641,0.86245,0.55255,0.85933,0.000557,0.000557,0.000557
58,111.893,1.0024,1.33832,0.86852,0.99256,1,0.995,0.7685,0.8282,0.52793,0.85315,0.000544625,0.000544625,0.000544625
59,113.642,0.90319,1.13136,0.86523,0.99256,1,0.995,0.7685,0.8282,0.52793,0.85315,0.00053225,0.00053225,0.00053225
60,115.445,0.93555,1.22286,0.86696,0.99205,1,0.995,0.76553,0.80937,0.51973,0.85065,0.000519875,0.000519875,0.000519875
61,117.282,0.92033,1.21178,0.84831,0.99147,1,0.995,0.77373,0.827,0.53922,0.85126,0.0005075,0.0005075,0.0005075
62,119.125,0.9051,1.2386,0.84993,0.99515,0.9994,0.995,0.7695,0.81921,0.53701,0.84918,0.000495125,0.000495125,0.000495125
63,120.945,0.93165,1.25253,0.8566,0.99587,0.99631,0.995,0.77625,0.81897,0.52227,0.8485,0.00048275,0.00048275,0.00048275
64,122.733,1.03535,1.16666,0.86596,0.99646,0.98792,0.995,0.77761,0.82465,0.52121,0.85074,0.000470375,0.000470375,0.000470375
65,124.542,0.91239,1.23517,0.85142,0.99046,0.98546,0.995,0.77481,0.80268,0.50134,0.84769,0.000458,0.000458,0.000458
66,126.434,0.99212,1.4318,0.829,0.97566,0.98492,0.995,0.77928,0.80854,0.50734,0.84722,0.000445625,0.000445625,0.000445625
67,128.226,0.97335,1.24529,0.81298,0.94245,0.99594,0.995,0.77062,0.80679,0.51764,0.84512,0.00043325,0.00043325,0.00043325
68,130.022,1.00566,1.1375,0.89895,0.9461,1,0.995,0.78767,0.82438,0.51255,0.84684,0.000420875,0.000420875,0.000420875
69,131.825,0.97476,1.14538,0.8529,0.95075,1,0.995,0.78936,0.84114,0.51313,0.84803,0.0004085,0.0004085,0.0004085
70,133.611,1.00266,1.49447,0.85124,0.97393,0.99933,0.995,0.79578,0.8308,0.50399,0.84649,0.000396125,0.000396125,0.000396125
71,135.37,0.99023,1.17467,0.87039,0.98045,1,0.995,0.79293,0.78431,0.50037,0.84138,0.00038375,0.00038375,0.00038375
72,137.195,0.87685,1.03927,0.85665,0.99176,1,0.995,0.80418,0.75979,0.4927,0.83719,0.000371375,0.000371375,0.000371375
73,139.012,0.91471,1.13719,0.85195,0.99485,1,0.995,0.80177,0.76574,0.48792,0.83737,0.000359,0.000359,0.000359
74,140.9,0.95082,1.17753,0.85971,0.99466,1,0.995,0.81718,0.75374,0.48455,0.83578,0.000346625,0.000346625,0.000346625
75,142.845,0.90577,1.10246,0.85471,0.99466,1,0.995,0.81718,0.75374,0.48455,0.83578,0.00033425,0.00033425,0.00033425
76,144.654,0.89105,1.1216,0.85859,0.99395,1,0.995,0.79705,0.74585,0.4836,0.83721,0.000321875,0.000321875,0.000321875
77,146.452,0.85406,1.06477,0.84168,0.99115,0.99871,0.995,0.80629,0.75294,0.47073,0.83989,0.0003095,0.0003095,0.0003095
78,148.219,0.85843,1.08516,0.82871,0.99001,0.99294,0.995,0.80687,0.74863,0.46266,0.84025,0.000297125,0.000297125,0.000297125
79,150.07,0.85025,1.08758,0.83991,0.98956,0.99225,0.995,0.81307,0.74797,0.46713,0.83895,0.00028475,0.00028475,0.00028475
80,152.013,0.79386,0.98896,0.85152,0.99098,0.99288,0.995,0.81144,0.7298,0.46273,0.83686,0.000272375,0.000272375,0.000272375
81,153.973,0.84056,1.08824,0.84495,0.99237,0.9936,0.995,0.81585,0.72489,0.4487,0.83381,0.00026,0.00026,0.00026
82,156.023,0.80156,1.03153,0.84567,0.99408,0.99631,0.995,0.81443,0.73089,0.46205,0.83359,0.000247625,0.000247625,0.000247625
83,157.974,0.82712,0.99389,0.81968,0.99565,0.99903,0.995,0.82745,0.72638,0.45931,0.8315,0.00023525,0.00023525,0.00023525
84,159.932,0.75478,0.93662,0.84024,0.99526,1,0.995,0.81548,0.70779,0.4708,0.82829,0.000222875,0.000222875,0.000222875
85,161.781,0.74771,0.96785,0.81929,0.99467,1,0.995,0.82213,0.70277,0.46752,0.82691,0.0002105,0.0002105,0.0002105
86,163.568,0.82223,0.98821,0.84654,0.9942,1,0.995,0.82095,0.69422,0.46472,0.82713,0.000198125,0.000198125,0.000198125
87,165.329,0.86935,1.16324,0.84764,0.99118,1,0.995,0.82519,0.68777,0.45098,0.82592,0.00018575,0.00018575,0.00018575
88,167.146,0.78819,0.91541,0.82336,0.98957,1,0.995,0.82216,0.67502,0.44601,0.82561,0.000173375,0.000173375,0.000173375
89,168.944,0.8546,0.99647,0.85063,0.98827,1,0.995,0.82426,0.6686,0.44202,0.82502,0.000161,0.000161,0.000161
90,170.744,0.83132,1.0505,0.85535,0.98796,1,0.995,0.83302,0.66508,0.44605,0.82428,0.000148625,0.000148625,0.000148625
